blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""471870512012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1746.00,662.00,22395.29,50,62,53,23,29,24,27,33,28,11.74,0.35,2.31,2,2,27744,27325,27746,0,0,0,17965,17534,17908,13791,13423,13733,4174,4111,4174,1,1,1,0,0,0,0.3,2.1,0.08,0.03,3128,96,3441,85,200,6,3459,1266,1352,,94,6
"""471870507012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1677.00,650.00,512.85,53,66,56,31,39,33,22,27,24,8.64,10.95,1.96,2,2,20601,20546,20656,1,1,1,14829,14462,14777,11728,11370,11668,3099,3091,3107,1,1,1,1,1,1,3.6,4.8,4.27,1.27,9321,81,14447,81,21,64,1644,1713,1587,2076,74,26
"""471870506012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,3548.00,1408.00,899.44,46,56,48,25,31,26,21,25,22,7.97,12.48,1.83,2,2,19243,19168,19288,1,1,1,13857,13505,13803,10961,10620,10900,2895,2883,2902,1,1,1,1,1,1,5.6,5.6,3.64,1.57,10107,50,24488,80,24,88,1224,1362,1525,1114,61,39
"""471870501012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,6122.00,1803.00,6889.72,75,93,79,50,62,53,25,31,27,11.66,3.05,2.19,2,2,24624,24284,24622,1,1,1,16835,16461,16786,13130,12807,13081,3704,3653,3704,1,1,1,0,0,0,1.4,4.1,1.14,0.26,7935,91,9396,82,103,18,2198,2756,2782,2509,91,9
"""471870510013""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2862.00,906.00,2178.80,75,94,79,51,63,53,25,30,26,10.43,4.34,2.18,2,2,22540,22224,22537,1,1,1,16405,16046,16358,13013,12702,12966,3391,3343,3390,1,1,1,0,0,0,1.7,5.2,0.84,0.42,7181,99,12513,81,32,34,1281,2799,2799,,100,0
"""471870508001""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1435.00,533.00,146.52,36,44,38,17,21,18,18,22,19,6.71,24.42,1.64,2,2,16125,16045,16173,1,1,1,12256,11847,12192,9828,9432,9757,2426,2414,2433,2,2,2,1,1,1,7.0,5.1,4.99,3.64,9767,30,23163,81,9,240,846,950,1180,,80,20
"""471870502032""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2299.00,738.00,1475.47,82,102,87,58,73,61,24,29,25,10.00,5.00,2.14,2,2,21646,21379,21662,1,1,1,16033,15595,15975,12776,12378,12714,3256,3216,3259,2,2,2,1,1,1,1.6,5.1,0.50,0.50,11415,100,16703,81,67,48,1680,3210,3337,,96,4
"""471870505041""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1885.00,657.00,646.94,44,54,46,20,26,22,23,28,24,9.57,9.72,2.00,2,2,22737,22146,22681,0,0,0,15399,14980,15334,11978,11648,11921,3420,3331,3412,1,1,1,0,0,0,3.5,2.5,2.25,1.02,3957,61,3442,84,36,56,1598,1130,1224,946,69,31
"""471870505033""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1354.00,497.00,1891.51,51,63,53,25,31,27,26,31,27,11.02,2.90,2.19,2,2,25632,25086,25593,0,0,0,16938,16536,16881,13082,12762,13031,3856,3774,3850,0,0,1,0,0,0,1.5,2.4,0.55,0.26,3506,92,3434,84,90,29,2353,1389,1466,1150,76,24
"""471870506021""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,8618.00,3148.00,13693.05,64,79,67,41,51,43,23,28,24,9.37,2.15,2.01,2,2,21943,21951,22023,1,1,1,15311,14887,15251,12009,11584,11937,3301,3302,3313,1,1,1,1,1,1,2.4,4.1,2.62,0.23,7672,80,11216,82,53,20,1427,2250,2361,1757,82,18
