county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""47073""","""Hawkins""","""Kingsport-Bristol, TN-VA""",36.00,56611.00,23135.00,311702.02,55,68,42,24,30,17,31,37,25,8.81,2.01,1.89,2,2,21398,20784,23052,0,0,0,13963,13422,15693,10735,10287,12217,3220,3128,3468,8,8,8,10,10,11,1.7,1.5,0.25,0.07,3317,66,2766,86,97,13,3210,909,1023,551,77,23
"""47075""","""Haywood""","""Brownsville, TN""",15.00,17623.00,7181.00,341178.00,63,77,42,27,33,16,37,44,25,9.27,2.71,1.87,2,2,22183,21229,24491,0,0,0,13961,13368,16021,10618,10168,12332,3338,3195,3684,5,5,5,6,6,7,0.8,0.8,0.35,0.02,2042,75,1959,87,175,5,4426,839,998,584,64,36
"""47077""","""Henderson""","""""",19.00,27977.00,10711.00,332805.15,58,71,42,24,30,17,34,41,26,9.68,0.96,1.97,2,2,23505,22701,24684,0,0,0,14700,14115,16242,11157,10692,12522,3537,3416,3713,6,6,6,8,8,8,1.3,1.1,0.14,0.03,1972,65,1970,86,145,7,3307,866,912,591,77,23
"""47079""","""Henry""","""Paris, TN""",28.00,32284.00,13394.00,359616.94,62,75,43,27,34,18,34,41,25,8.65,1.55,1.88,2,2,21368,20642,23314,0,0,0,13891,13316,15855,10669,10204,12341,3215,3106,3507,6,6,7,8,8,9,1.2,1.3,0.17,0.04,2295,68,2658,86,118,8,3418,919,1020,548,80,20
"""47081""","""Hickman""","""""",14.00,24813.00,8636.00,391988.77,61,75,45,26,33,18,35,42,27,10.20,0.59,2.04,2,2,24529,23742,25363,0,0,0,15249,14665,16675,11551,11085,12853,3691,3573,3815,7,7,7,9,9,9,1.1,1.5,0.16,0.02,2226,75,1939,86,139,7,3130,957,1038,590,84,16
"""47083""","""Houston""","""""",7.00,8164.00,2878.00,128187.74,62,76,45,27,33,18,36,43,26,10.25,0.40,2.03,2,2,24531,23651,25229,0,0,0,15210,14575,16633,11512,11009,12831,3691,3559,3795,6,6,6,8,8,8,1.3,1.1,0.23,0.02,1728,74,1521,86,135,9,2813,947,1037,651,83,17
"""47085""","""Humphreys""","""""",16.00,18435.00,6763.00,339687.52,57,70,44,24,29,17,33,40,26,10.24,0.86,2.04,2,2,24484,23668,25176,0,0,0,15296,14714,16589,11605,11146,12796,3684,3562,3787,6,6,6,8,8,8,0.8,1.1,0.16,0.02,1765,74,1796,86,142,6,3616,897,969,574,82,18
"""47087""","""Jackson""","""Cookeville, TN""",9.00,11682.00,4566.00,197521.28,60,73,43,24,30,16,36,43,27,10.25,0.35,1.97,2,2,24706,24058,26545,0,0,0,14929,14349,16867,11205,10722,12867,3718,3620,3993,7,6,8,8,8,9,0.9,1.0,0.21,0.02,2184,67,1729,86,310,6,5410,842,929,548,82,18
"""47089""","""Jefferson""","""Morristown, TN""",32.00,53679.00,20154.00,176046.27,58,71,44,26,33,19,32,38,25,9.41,1.76,1.97,2,2,22443,21677,23451,0,0,0,14579,14033,15950,11194,10764,12415,3377,3262,3528,8,8,8,9,9,10,2.1,1.4,0.42,0.11,3260,67,3038,86,73,21,2671,997,1074,645,79,21
"""47091""","""Johnson""","""""",12.00,17753.00,6794.00,191001.34,65,79,41,27,34,15,38,45,26,9.16,0.46,1.84,2,2,21809,21116,24200,0,0,0,13721,13095,16178,10432,9911,12530,3282,3178,3640,7,7,8,9,9,10,1.0,1.4,0.21,0.04,2315,74,2075,86,181,9,3041,810,915,514,81,19
"""47093""","""Knox""","""Knoxville, TN""",242.00,461104.00,187319.00,325328.27,51,62,45,26,33,23,25,29,23,7.89,9.66,1.83,2,2,18898,18516,19516,2,2,2,13838,12842,14310,10963,10022,11342,2843,2786,2936,32,34,33,40,42,41,2.8,4.4,1.19,0.58,11672,67,16956,82,41,43,2259,1185,1259,855,68,32
"""47095""","""Lake""","""""",7.00,7401.00,2243.00,106102.25,58,70,37,23,29,13,35,41,24,7.48,3.29,1.66,2,2,18125,17354,21754,0,0,0,12171,11619,14874,9439,9004,11597,2728,2611,3272,4,4,4,5,5,6,1.2,0.5,1.40,0.02,1406,71,1328,87,137,5,4570,678,889,430,60,40
"""47097""","""Lauderdale""","""""",24.00,25989.00,9675.00,302058.48,58,71,40,24,30,15,35,41,25,9.21,1.51,1.85,2,2,22046,21178,24212,0,0,0,13829,13236,15811,10506,10044,12164,3317,3187,3642,5,5,5,6,7,7,1.0,0.8,0.22,0.03,2009,74,1923,87,205,5,6202,788,899,646,62,38
"""47099""","""Lawrence""","""Lawrenceburg, TN""",30.00,43390.00,15960.00,394962.53,59,72,43,25,31,17,34,41,26,9.93,1.49,2.00,2,2,23800,22951,24656,0,0,0,14922,14323,16329,11334,10863,12613,3581,3454,3709,7,7,7,9,8,8,0.9,1.3,0.25,0.04,2319,79,2314,86,134,7,3333,891,977,554,78,22
"""47101""","""Lewis""","""""",7.00,12027.00,4715.00,180538.55,67,82,43,28,35,17,38,46,26,9.56,0.99,1.92,2,2,22845,22010,24700,0,0,0,14341,13732,16384,10897,10414,12661,3438,3312,3716,6,6,7,8,8,9,0.9,1.2,0.11,0.03,2021,70,1777,86,151,7,3264,881,968,545,82,18
"""47103""","""Lincoln""","""""",24.00,33924.00,13548.00,365018.37,57,69,46,25,32,20,32,37,26,9.90,1.32,2.03,2,2,24124,23451,25181,0,0,0,15797,14651,16513,12161,11116,12718,3629,3529,3788,7,7,7,8,8,9,0.9,1.3,0.17,0.04,2607,75,2598,86,159,7,3419,1047,1137,635,78,22
