NAME,GEO_ID,pop,raceeth_total_series,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,gq_total_series,gq_institutionalized,gq_institutionalized_correctionalfacilityadults,gq_institutionalized_juvenilefacility,gq_institutionalized_nursingorskillednursingfacility,gq_institutionalized_other,gq_noninstitutionalized,gq_noninstitutionalized_collegeoruniversitystudenthousing,gq_noninstitutionalized_militaryquarters,gq_noninstitutionalized_other,StateFIPS,GeoFIPS
"Mount Juliet city, Tennessee",1600000US4750780,39289.0,39289.0,30290.0,3206.0,137.0,2018.0,12.0,980.0,2646.0,29711.0,2406.0,15090.0,15090.0,14464.0,626.0,224.0,178.0,0.0,0.0,178.0,0.0,46.0,0.0,0.0,46.0,47.0,50780.0
"Mount Pleasant city, Tennessee",1600000US4751080,4784.0,4784.0,3474.0,897.0,17.0,31.0,2.0,67.0,296.0,3440.0,135.0,2124.0,2124.0,1899.0,225.0,64.0,60.0,0.0,0.0,60.0,0.0,4.0,0.0,0.0,4.0,47.0,51080.0
"Murfreesboro city, Tennessee",1600000US4751560,152769.0,152769.0,97785.0,29799.0,740.0,5797.0,103.0,6638.0,11907.0,94941.0,13918.0,62905.0,62905.0,58999.0,3906.0,5152.0,1419.0,774.0,43.0,602.0,0.0,3733.0,2831.0,0.0,902.0,47.0,51560.0
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,689447.0,689447.0,380838.0,169349.0,3839.0,27375.0,318.0,55554.0,52174.0,367397.0,96349.0,316363.0,316363.0,290106.0,26257.0,24718.0,7154.0,4378.0,156.0,2421.0,199.0,17564.0,15112.0,0.0,2452.0,47.0,52006.0
"New Johnsonville city, Tennessee",1600000US4752820,1804.0,1804.0,1616.0,27.0,8.0,9.0,0.0,16.0,128.0,1605.0,39.0,790.0,790.0,716.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,52820.0
"Nolensville town, Tennessee",1600000US4753460,13829.0,13829.0,11017.0,752.0,13.0,907.0,11.0,139.0,990.0,10811.0,705.0,4216.0,4216.0,4089.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,53460.0
"Oak Hill city, Tennessee",1600000US4754780,4891.0,4891.0,4520.0,59.0,5.0,82.0,0.0,34.0,191.0,4480.0,137.0,1874.0,1874.0,1764.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,54780.0
"Pegram town, Tennessee",1600000US4757480,2072.0,2072.0,1924.0,44.0,1.0,8.0,0.0,24.0,71.0,1906.0,59.0,849.0,849.0,812.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,57480.0
"Pleasant View city, Tennessee",1600000US4759560,4807.0,4807.0,4294.0,116.0,15.0,47.0,4.0,64.0,267.0,4208.0,207.0,1927.0,1927.0,1810.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,59560.0
"Portland city, Tennessee",1600000US4760280,13156.0,13156.0,11051.0,608.0,55.0,72.0,2.0,389.0,979.0,10827.0,955.0,5084.0,5084.0,4823.0,261.0,62.0,10.0,0.0,0.0,10.0,0.0,52.0,0.0,0.0,52.0,47.0,60280.0
"Ridgetop city, Tennessee",1600000US4763140,2155.0,2155.0,1959.0,32.0,7.0,16.0,2.0,32.0,107.0,1939.0,66.0,898.0,898.0,857.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,63140.0
"Slayden town, Tennessee",1600000US4769080,170.0,170.0,162.0,3.0,0.0,0.0,0.0,0.0,5.0,161.0,2.0,93.0,93.0,87.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,69080.0
"Smyrna town, Tennessee",1600000US4769420,53070.0,53070.0,31255.0,8664.0,304.0,3115.0,62.0,4899.0,4771.0,29728.0,8988.0,20413.0,20413.0,19325.0,1088.0,303.0,239.0,0.0,0.0,160.0,79.0,64.0,0.0,0.0,64.0,47.0,69420.0
"Springfield city, Tennessee",1600000US4770500,18782.0,18782.0,10439.0,3828.0,185.0,115.0,6.0,2552.0,1657.0,9690.0,4388.0,7351.0,7351.0,6921.0,430.0,705.0,622.0,477.0,0.0,145.0,0.0,83.0,0.0,0.0,83.0,47.0,70500.0
"Spring Hill city, Tennessee",1600000US4770580,50005.0,50005.0,40708.0,2987.0,155.0,1098.0,35.0,1291.0,3731.0,39622.0,3933.0,17939.0,17939.0,17211.0,728.0,266.0,232.0,0.0,38.0,194.0,0.0,34.0,0.0,0.0,34.0,47.0,70580.0
"Tennessee Ridge town, Tennessee",1600000US4773460,1332.0,1332.0,1229.0,18.0,7.0,1.0,1.0,15.0,61.0,1218.0,37.0,599.0,599.0,542.0,57.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,47.0,73460.0
"Thompson's Station town, Tennessee",1600000US4773900,7485.0,7485.0,6566.0,193.0,20.0,127.0,5.0,108.0,466.0,6438.0,397.0,2690.0,2690.0,2556.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,73900.0
