NAME,GEO_ID,Year,Time Frame,Population,Population % Change,Population Change,Population Projected,Population Projected % Change,Population Projected Change,Employment Projected,Employment Projected % Change,Employment Projected Change,Households Projected,Households Projected % Change,Households Projected Change
"Berry Hill city, Tennessee",1600000US4705140,None,1960-1970,,-100.0,-1551.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1970-1980,,inf,1113.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1980-1990,,-27.942497753818508,-311.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,1990-2000,,-15.960099750623442,-128.0,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,2000-2010,,-20.326409495548962,,,,,,,,,,
"Berry Hill city, Tennessee",1600000US4705140,None,2010-2020,,293.2960893854749,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1800,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1810,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1820,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1830,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1840,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1850,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1860,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1870,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1880,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1890,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1900,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1910,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1920,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1930,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1940,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1950,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1960,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1970,None,0.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1980,None,9431.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,1990,None,16392.0,,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1800-1810,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1810-1820,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1820-1830,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1830-1840,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1840-1850,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1850-1860,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1860-1870,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1870-1880,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1880-1890,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1890-1900,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1900-1910,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1910-1920,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1920-1930,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1930-1940,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1940-1950,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1950-1960,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1960-1970,,,0.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1970-1980,,inf,9431.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1980-1990,,73.8097762697487,6961.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,1990-2000,,43.027086383601755,7053.0,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,2000-2010,,58.07208359991469,,,,,,,,,,
"Brentwood city, Tennessee",1600000US4708280,None,2010-2020,,22.431192660550458,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1800,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1810,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1820,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1830,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1840,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1850,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1860,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1870,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1880,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1890,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1900,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1910,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1920,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1930,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1940,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1950,None,0.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1960,None,386.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1970,None,257.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1980,None,777.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,1990,None,1127.0,,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1800-1810,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1810-1820,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1820-1830,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1830-1840,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1840-1850,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1850-1860,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1860-1870,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1870-1880,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1880-1890,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1890-1900,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1900-1910,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1910-1920,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1920-1930,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1930-1940,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1940-1950,,,0.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1950-1960,,inf,386.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1960-1970,,-33.41968911917098,-129.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1970-1980,,202.33463035019454,520.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1980-1990,,45.04504504504504,350.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,1990-2000,,21.206743566992014,239.0,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,2000-2010,,7.46705710102489,,,,,,,,,,
"Burns town, Tennessee",1600000US4709880,None,2010-2020,,7.15258855585831,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1800,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1810,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1820,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1830,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1840,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1850,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1860,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1870,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1880,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1890,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1900,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1910,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1920,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1930,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1940,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1950,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1960,None,0.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1970,None,355.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1980,None,420.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,1990,None,347.0,,,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1800-1810,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1810-1820,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1820-1830,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1830-1840,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1840-1850,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1850-1860,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1860-1870,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1870-1880,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1880-1890,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1890-1900,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1900-1910,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1910-1920,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1920-1930,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1930-1940,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1940-1950,,,0.0,,,,,,,,,
"Cedar Hill city, Tennessee",1600000US4711980,None,1950-1960,,,0.0,,,,,,,,,
